"sale_id","artwork_id","artist_name","category","sale_date","auction_house","sale_price_eur","estimate_low_eur","estimate_high_eur","sold_above_estimate","price_change_pct","price_change_explanation","buyer_type","buyer_name","buyer_nationality","buyer_profile","bart_score_buyer","seller_type","seller_name","seller_profile","bart_score_seller","sale_location","is_private_sale","bart_score_sale","source"
"SL0001","BNK001","Banksy","Street Art","2014-02-15","Christie's","52100","38000","64000","false","","Première vente de référence pour cet artiste dans l'indice ; base servant de point de départ pour le suivi longitudinal des prix.","Collectionneur","Maja Hoffmann","Suisse","Fondatrice de LUMA Arles, parmi les mécènes les plus influents d'Europe.","91","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","Los Angeles","false","87.2","Généré IA"
"SL0002","BNK002","Banksy","Street Art","2014-05-15","Christie's","51300","33000","67000","false","-1.54","Art Basel Bâle 2014 dépasse les attentes avec 95% de galeries satisfaites ; l'art contemporain attire de nouveaux capitaux institutionnels.","Collectionneur","Maja Hoffmann","Suisse","Fondatrice de LUMA Arles, parmi les mécènes les plus influents d'Europe.","91","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","Los Angeles","false","88.7","Généré IA"
"SL0003","BNK003","Banksy","Street Art","2014-08-15","Christie's","49500","32000","65000","false","-3.51","Ventes estivales solides à Londres malgré la période creuse ; Phillips réalise ses meilleures enchères depuis sa fondation.","Fondation","Fondation Vuitton Collection","Français","Bras acquisition de la fondation, focalisé sur les artistes de la scène internationale.","90","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","Los Angeles","false","84.4","Généré IA"
"SL0004","BNK004","Banksy","Street Art","2014-11-15","Sotheby's","58700","46000","73000","false","18.59","Christie's réalise 852 M$ en une seule soirée à New York, nouveau record absolu ; l'appétit pour l'art post-war est sans précédent.","Musée","Pinakothek der Moderne","Allemand","Institution munichoise gérant quatre musées et une politique d'acquisition transversale.","88","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","Hong Kong","false","87.6","Généré IA"
"SL0005","BNK005","Banksy","Street Art","2015-02-15","Phillips","62400","42000","80000","false","6.3","Forte demande asiatique en début d'année ; le marché est soutenu par les collectionneurs chinois et les familles de richesse récente.","Collectionneur","Mitchell Rales","Américain","Fondateur du Glenstone Museum, collection de 1 300 œuvres parmi les plus importantes des USA.","93","Collectionneur","Collection Privée Européenne","Collectionneur européen de longue date liquidant une partie de son portefeuille après 15 ans de détention.","88","New York","false","91.8","Généré IA"
"SL0006","BNK006","Banksy","Street Art","2015-05-15","Bonhams","65500","45000","86000","false","4.97","Année record en vue : Sotheby's et Christie's totalisent 1,6 Md$ sur les ventes de mai à New York ; les UHNWI achètent massivement.","Musée","Whitney Museum","Américain","Musée dédié à l'art américain vivant, programme d'acquisition centré sur la diversité.","94","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Paris","false","87.2","Généré IA"
"SL0007","BNK007","Banksy","Street Art","2015-08-15","Phillips","77100","61000","96000","false","17.71","Légère pause estivale mais le segment ultra-contemporain continue sa progression ; émergence des artistes femmes sur le marché secondaire.","Galerie","Hauser & Wirth","Suisse","Méga-galerie internationale présente dans plus de 20 villes, productrice d'expositions majeures.","94","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","Hong Kong","false","84.1","Généré IA"
"SL0008","BNK008","Banksy","Street Art","2015-11-15","Sotheby's","53900","35000","71000","false","-30.09","Marché mondial record à 63,8 Mds$ en 2015 ; la fin d'année est portée par des lots exceptionnels dont Modigliani à 170 M$.","Musée","MoMA","Américain","Museum of Modern Art NYC, référence absolue pour la conservation de l'art moderne et contemporain.","99","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","New York","false","85.5","Généré IA"
"SL0009","BNK009","Banksy","Street Art","2016-02-15","Bonhams","53500","36000","71000","false","-0.74","Correction post-records : le krach boursier de Shanghai ralentit les achats transfrontaliers ; les collectionneurs russes réduisent leur activité.","Collectionneur","Mitchell Rales","Américain","Fondateur du Glenstone Museum, collection de 1 300 œuvres parmi les plus importantes des USA.","93","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","New York","false","83.5","Généré IA"
"SL0010","BNK010","Banksy","Street Art","2016-05-15","Sotheby's","55400","41000","70000","false","3.55","Résultats décevants à New York : Christie's voit ses recettes baisser de 27% ; le vote Brexit crée une forte incertitude à Londres.","Anonyme","Anonyme","Américain","Identité non divulguée à la demande expresse de l'acheteur, pratique courante pour les transactions > 500 K€.","73","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Paris","false","74.5","Généré IA"
