"artwork_id","artist_name","artist_id","category","title","year_created","medium","dimensions_cm","description","creation_context","artwork_style","notable_owners","bart_score","image_url"
"BNK001","Banksy","ART_BNK","Street Art","Girl with Balloon","2002","Stencil and spray paint on canvas","100x100","Œuvre iconique représentant une fillette tendant la main vers un ballon en forme de cœur. Image la plus reconnue de l'artiste.","Créée à Londres, devenue symbole mondial de Banksy. Édition autodestruction Sotheby's 2018.","Pochoir avec gestion des nuances, signature Banksy","Tate Modern (étude), Collection Lazarides, divers anonymes","91",""
"BNK002","Banksy","ART_BNK","Street Art","Love is in the Air (Flower Thrower)","2003","Stencil and spray paint","70x50","Manifestant masqué lançant un bouquet de fleurs au lieu d'un cocktail Molotov. Détournement pacifiste.","Mur de séparation Bethléem, série Palestine. Référence absolue du travail engagé de Banksy.","Pochoir politique subversif","Collections privées multiples","94",""
"BNK003","Banksy","ART_BNK","Street Art","Devolved Parliament","2009","Oil on canvas","274x426","Chambre des Communes peuplée de chimpanzés. Œuvre la plus chère de Banksy à 9,9M£ chez Sotheby's 2019.","Exposée Bristol Museum 2009. Vendue durant le débat Brexit, charge politique maximale.","Peinture à l'huile narrative","Bristol Museum (loan), collectionneur anonyme","95",""
"BNK004","Banksy","ART_BNK","Street Art","Game Changer","2013","Oil on canvas","91x91","Hommage aux soignants pendant la pandémie, enfant jouant avec figurine d'infirmière en super-héroïne.","Donnée à Southampton Hospital, vendue 16,7M£ chez Christie's 2021 au profit du NHS.","Hommage figuratif","Southampton General Hospital (origine), collection privée","84",""
"BNK005","Banksy","ART_BNK","Street Art","Show Me the Monet","2005","Oil on canvas","143x143","Détournement du Pont Japonais de Monet, jonché de caddies abandonnés et cônes de signalisation.","Série Crude Oils. Vendu 7,55M£ chez Sotheby's 2020.","Détournement parodique d'œuvre classique","Collection privée britannique","83",""
"BNK006","Banksy","ART_BNK","Street Art","Kissing Coppers","2004","Stencil on wall (transferred to canvas)","210x150","Deux policiers s'embrassant. Mural emblématique du Prince Albert pub à Brighton.","Originellement peint sur Brighton pub. Transféré sur toile pour vente.","Pochoir mural","Pub Prince Albert (origine), collection privée US","90",""
"BNK007","Banksy","ART_BNK","Street Art","Slave Labour","2012","Stencil on wall (transferred)","152x122","Enfant cousant des drapeaux Union Jack pour le Jubilé de la Reine. Critique du travail des enfants.","Wood Green, Londres. Retiré du mur pour mise en vente, polémique.","Mural politique transféré","Collection privée","88",""
"BNK008","Banksy","ART_BNK","Street Art","Mediterranean Sea View","2014","Triptych, oil on canvas","60x90","Triptyque de paysages marins idylliques où se mêlent gilets de sauvetage et migrants noyés.","Donné à hôtel Walled Off Bethléem, vendu 2,2M£ Sotheby's 2020 pour fonds humanitaires.","Détournement de paysage classique","Collection privée","95",""
"BNK009","Banksy","ART_BNK","Street Art","Pulp Fiction","2002","Stencil and spray on canvas","70x100","Vincent et Jules pointant des bananes au lieu de pistolets. Détournement référence cinéma.","Originellement peint sur mur Old Street, Londres. Retiré 2007.","Pochoir parodique","Collections privées","88",""
"BNK010","Banksy","ART_BNK","Street Art","Napalm","2004","Screenprint, edition of 150","70x50","Phan Thi Kim Phuc tenue par Mickey Mouse et Ronald McDonald. Critique impérialisme américain.","Référence directe à la photo Vietnam de Nick Ut 1972.","Sérigraphie politique","Diverses collections privées","92",""
"BNK011","Banksy","ART_BNK","Street Art","Mona Lisa with Bazooka","2000","Stencil on canvas","85x60","Joconde portant un lance-roquettes. Détournement classique.","Première période Banksy, série de détournements muséaux.","Pochoir subversif","Collection privée","83",""
"BNK012","Banksy","ART_BNK","Street Art","Trolley Hunters","2006","Stencil on canvas","150x200","Homme préhistorique chassant un caddie de supermarché. Critique de la société de consommation.","Œuvre majeure exposée Barely Legal, Los Angeles, 2006.","Pochoir narratif","Collection privée","86",""
"BNK013","Banksy","ART_BNK","Street Art","Christ with Shopping Bags","2004","Stencil and spray on canvas","100x70","Christ crucifié portant des sacs de courses. Critique commercialisation des fêtes religieuses.","Edition limitée tirée à 82 exemplaires.","Pochoir polémique","Collections privées","93",""
"BNK014","Banksy","ART_BNK","Street Art","Bomb Hugger","2003","Stencil on canvas","60x80","Petite fille embrassant tendrement une bombe.","Symbole du registre antimilitariste de Banksy.","Pochoir antimilitariste","Collections privées","88",""
"BNK015","Banksy","ART_BNK","Street Art","Girl with Pearl Earring","2014","Stencil on wall (Bristol)","300x200","Détournement Vermeer, perle remplacée par alarme antivol installée sur le mur.","Bristol Harbourside, devenue attraction touristique.","Mural détourné","Mur public Bristol","94",""
"BNK016","Banksy","ART_BNK","Street Art","Untitled (Edition)","2005","Screenprint, signed edition","50x70","Untitled (Edition), exécutée par Banksy en 2005. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 2005, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Lazarides Collection","88",""
"BNK017","Banksy","ART_BNK","Street Art","Police Series #01","1998","Screenprint, signed edition","50x70","Police Series #01, exécutée par Banksy en 1998. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 1998, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Lazarides Collection","71",""
"BNK018","Banksy","ART_BNK","Street Art","Untitled (Edition)","2018","Stencil on plywood","60x80","Untitled (Edition), exécutée par Banksy en 2018. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 2018, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","81",""
"BNK019","Banksy","ART_BNK","Street Art","Studio Print #03","2008","Screenprint, signed edition","60x80","Studio Print #03, exécutée par Banksy en 2008. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 2008, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée US","74",""
"BNK020","Banksy","ART_BNK","Street Art","Police Series #04","2006","Stencil on plywood","50x70","Police Series #04, exécutée par Banksy en 2006. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 2006, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Lazarides Collection","84",""
"BNK021","Banksy","ART_BNK","Street Art","Untitled (Stencil)","2014","Spray paint on metal","50x70","Untitled (Stencil), exécutée par Banksy en 2014. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2014, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée britannique","77",""
"BNK022","Banksy","ART_BNK","Street Art","Untitled (Edition)","1998","Stencil on plywood","100x150","Untitled (Edition), exécutée par Banksy en 1998. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 1998, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","87",""
"BNK023","Banksy","ART_BNK","Street Art","Sprayed Canvas (07)","2013","Spray paint on metal","100x150","Sprayed Canvas (07), exécutée par Banksy en 2013. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2013, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée britannique","80",""
"BNK024","Banksy","ART_BNK","Street Art","Sprayed Canvas (08)","2008","Stencil on plywood","50x70","Sprayed Canvas (08), exécutée par Banksy en 2008. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 2008, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","86",""
"BNK025","Banksy","ART_BNK","Street Art","Wall Fragment (09)","2002","Spray paint on metal","50x70","Wall Fragment (09), exécutée par Banksy en 2002. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2002, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","88",""
"BNK026","Banksy","ART_BNK","Street Art","Sprayed Canvas (10)","2009","Screenprint, signed edition","30x40","Sprayed Canvas (10), exécutée par Banksy en 2009. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 2009, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Lazarides Collection","84",""
"BNK027","Banksy","ART_BNK","Street Art","Police Series #11","1998","Stencil on plywood","50x70","Police Series #11, exécutée par Banksy en 1998. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 1998, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","75",""
"BNK028","Banksy","ART_BNK","Street Art","Sprayed Canvas (12)","2005","Stencil and spray on canvas","70x100","Sprayed Canvas (12), exécutée par Banksy en 2005. Œuvre dans le style caractéristique de l'artiste, support stencil and spray on canvas.","Période créative 2005, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Lazarides Collection","81",""
"BNK029","Banksy","ART_BNK","Street Art","Studio Print #13","2018","Spray paint on metal","30x40","Studio Print #13, exécutée par Banksy en 2018. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2018, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","76",""
"BNK030","Banksy","ART_BNK","Street Art","Untitled (Edition)","2018","Stencil and spray on canvas","60x80","Untitled (Edition), exécutée par Banksy en 2018. Œuvre dans le style caractéristique de l'artiste, support stencil and spray on canvas.","Période créative 2018, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","86",""
"BNK031","Banksy","ART_BNK","Street Art","Untitled (Edition)","2012","Spray paint on metal","60x80","Untitled (Edition), exécutée par Banksy en 2012. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2012, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","73",""
"BNK032","Banksy","ART_BNK","Street Art","Police Series #16","2004","Spray paint on metal","100x150","Police Series #16, exécutée par Banksy en 2004. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2004, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","82",""
"BNK033","Banksy","ART_BNK","Street Art","Spray Print #17","2001","Stencil and spray on canvas","50x70","Spray Print #17, exécutée par Banksy en 2001. Œuvre dans le style caractéristique de l'artiste, support stencil and spray on canvas.","Période créative 2001, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","85",""
"BNK034","Banksy","ART_BNK","Street Art","Sprayed Canvas (18)","2011","Spray paint on metal","60x80","Sprayed Canvas (18), exécutée par Banksy en 2011. Œuvre dans le style caractéristique de l'artiste, support spray paint on metal.","Période créative 2011, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","76",""
"BNK035","Banksy","ART_BNK","Street Art","Rat Series #19","2017","Screenprint, signed edition","60x80","Rat Series #19, exécutée par Banksy en 2017. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 2017, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Pest Control archives","80",""
